Date,Close,High,Low,Open,Volume
03/01/2022,326.2877502,329.4555925,321.4433872,326.8725886,28865100
04/01/2022,320.6928101,326.7263325,317.8758535,326.3656609,32674300
05/01/2022,308.3820801,317.8271242,307.9921978,317.6224115,40054300
06/01/2022,305.9453125,310.643473,303.6157159,305.2337557,39646100
07/01/2022,306.1012878,308.4990924,302.2511293,306.2084928,32720000
10/01/2022,306.3254395,306.7640756,296.987629,301.6662761,44289500
11/01/2022,307.0175171,308.6062867,302.0561926,305.4579581,29386800
12/01/2022,310.2242737,315.2343512,309.0643539,311.5889061,34372200
13/01/2022,297.0948792,312.7684058,296.3151144,312.3687667,45366000
14/01/2022,302.3583984,302.9627206,296.0714375,296.5587979,39846400
18/01/2022,294.999176,301.9684222,294.1121767,296.3832923,42333200
19/01/2022,295.6620178,305.9745795,295.0479688,298.5472125,45933900
20/01/2022,293.975769,303.7717002,293.5274058,301.2569339,35380700
21/01/2022,288.5465698,296.4223001,288.137174,295.0382133,57984400
24/01/2022,288.8779297,289.5992134,269.0716006,284.8133616,85731500
25/01/2022,281.197113,287.5327964,277.9610635,284.150515,72848600
26/01/2022,289.2093811,300.7013469,285.6224159,300.2042298,90428900
27/01/2022,292.2601929,299.5315995,290.3984731,295.0089118,53481300
28/01/2022,300.4673462,300.6817859,287.0064587,292.6403419,49743700
31/01/2022,303.1186218,304.4832247,298.6251444,301.1399402,46444500
01/02/2022,300.9547424,302.7774652,297.4165019,302.5630255,40950400
02/02/2022,305.5358887,307.1539283,301.0716817,301.8027221,36636000
03/02/2022,293.6345825,303.3623049,292.3771846,301.6662708,43730000
04/02/2022,298.2060242,300.9937108,292.386941,292.6208644,35096500
07/02/2022,293.3421326,300.057941,292.3186582,298.4301745,28533300
08/02/2022,296.8609009,297.8356215,292.3674532,293.6345781,32421200
09/02/2022,303.3427429,304.0445428,299.6193334,302.0366211,31284700
10/02/2022,294.7360535,301.3056615,293.0985298,296.3540934,45386200
11/02/2022,287.581543,296.5977075,286.782265,295.525509,39175600
14/02/2022,287.5426025,289.2581205,283.984878,286.3436854,36359500
15/02/2022,292.8742981,293.1959428,289.5115001,292.425935,27058300
16/02/2022,292.5324097,293.8705331,286.8477994,291.4286933,29982100
17/02/2022,283.9664917,289.8952571,283.2534636,289.4654908,32461600
18/02/2022,281.2315979,287.0236354,279.6492903,286.2324816,34264000
22/02/2022,281.0264893,284.757628,277.8813981,278.3697661,41736100
23/02/2022,273.7497864,284.9139014,273.583758,283.4292437,37811200
24/02/2022,287.7366638,288.2934105,265.2033564,266.1703454,56989700
25/02/2022,290.3934021,290.7059648,284.8650723,288.2739015,32546700
28/02/2022,291.8389282,292.1807917,286.183619,287.4631407,34627500
01/03/2022,288.0883179,292.9915222,285.353439,289.5045673,31217800
02/03/2022,293.2063904,294.4566113,286.8673831,288.4887387,31873000
03/03/2022,289.0357056,296.0779632,287.2091844,295.8435561,27314500
04/03/2022,283.1166992,288.7817862,280.4893066,287.4436626,32356500
07/03/2022,272.4214783,282.9506926,272.0503138,281.8176751,43157200
08/03/2022,269.4326782,277.3539942,263.7187657,271.3372959,48159500
09/03/2022,281.7882996,282.862715,274.2478974,276.8460184,35204500
10/03/2022,278.9460144,279.9325272,274.0525578,276.4357959,30628000
11/03/2022,273.5544434,282.7748331,272.929318,281.2608745,27209300
14/03/2022,270.0088806,278.7604261,269.4033091,273.8181447,30660700
15/03/2022,280.4697266,281.1241528,272.2456264,273.8279339,34245100
16/03/2022,287.5413208,287.7171261,276.6116427,282.3841262,37826300
17/03/2022,288.3520203,288.7329318,282.6381084,286.4669268,30816600
18/03/2022,293.4407959,293.9975426,285.9199464,288.498514,43390600
21/03/2022,292.2003174,293.1575293,288.0394129,291.9366094,28351200
22/03/2022,296.9863586,297.9044929,291.8194166,292.8254536,27599700
23/03/2022,292.522644,296.1756568,290.7938321,293.5189338,25715400
24/03/2022,297.0254822,297.1231618,291.3799482,292.180879,24484500
25/03/2022,296.6152039,298.3928707,292.327348,298.1291627,22566500
28/03/2022,303.4719238,303.5695736,297.2500897,297.2500897,29578200
29/03/2022,308.0723267,308.472792,301.8602698,306.6072226,30393400
30/03/2022,306.5583191,308.5997234,304.3313624,306.4606693,28163600
31/03/2022,301.1374817,307.8086054,300.7272693,306.5974325,33422100
01/04/2022,302.2216492,302.9151233,298.4319089,302.1727945,27110500
04/04/2022,307.6425476,307.7792752,302.5049066,302.876071,24289600
05/04/2022,303.6477051,307.5448723,302.6611921,305.9820887,23156700
06/04/2022,292.5324097,299.8579291,289.8073081,298.0900395,40110400
07/04/2022,294.3589783,296.5859356,289.4557734,289.7585592,31411200
08/04/2022,290.0613098,294.1147585,289.3873595,293.4505851,24361900
11/04/2022,278.6237183,285.8027039,278.3697574,285.0018031,34569300
12/04/2022,275.4981384,283.9761993,273.9646558,282.5110954,30966700
13/04/2022,280.9288025,281.8664607,274.7558238,276.152579,21907200
14/04/2022,273.3200684,281.6028018,272.8219532,281.3879186,28221600
18/04/2022,273.9939575,275.8888276,271.8646803,272.421427,20778000
19/04/2022,278.6627808,279.5125662,271.9330849,272.8805201,22297700
20/04/2022,279.6981201,282.9604447,278.731161,282.667406,22906700
21/04/2022,274.2772522,286.4766761,273.5447001,281.8664807,29454600
22/04/2022,267.6549988,276.6116821,267.0201263,275.1270242,29405800
25/04/2022,274.1893005,274.570212,264.4707665,266.93216,35678900
26/04/2022,263.9335938,271.884209,263.7187106,271.0442304,46518400
27/04/2022,276.6312256,284.2009311,272.665679,275.5372858,63477700
28/04/2022,282.8920593,284.2106589,274.9121129,278.555349,33646600
29/04/2022,271.0638123,283.1362869,270.0675521,281.8958128,37073900
02/05/2022,277.8521118,278.311179,269.7940392,271.2493664,35151100
03/05/2022,275.2246704,277.520006,273.632586,277.3539477,25978600
04/05/2022,283.2339478,284.1130043,270.2921943,276.0158536,33599300
05/05/2022,270.8976746,279.6882966,267.9576903,278.897143,43260400
06/05/2022,268.3387146,272.753551,264.9591863,268.4168404,37780300
09/05/2022,258.4248352,266.0238412,257.1941679,263.77736,47726000
10/05/2022,263.2303772,267.3815056,258.9034435,265.3694316,39336400
11/05/2022,254.4885101,265.0470221,253.2675903,259.4991697,48975900
12/05/2022,249.4095612,253.8341744,244.2035561,251.69512,51033800
13/05/2022,255.0453339,256.9206803,249.4095771,251.3630494,34925100
16/05/2022,255.4164581,259.6359647,249.8295271,253.9122764,32550900
17/05/2022,260.6127014,262.0875525,256.354117,259.9191974,28828800
18/05/2022,248.7470856,258.0672733,247.4645837,257.4798608,31356000
19/05/2022,247.826828,252.2617613,246.5932796,248.5708709,32692300
20/05/2022,247.2590027,253.1134989,241.2674605,251.8407668,39199300
23/05/2022,255.1791687,256.0113339,248.1107093,250.1274841,33175400
24/05/2022,254.1707916,255.8448918,248.17925,252.477122,29043900
25/05/2022,257.0099182,259.0266782,251.7330653,252.7218758,28547900
26/05/2022,260.3190613,261.5036564,255.9428802,256.765246,25002100
27/05/2022,267.5049438,267.6028509,261.9441688,262.844872,26910800
31/05/2022,266.1636963,269.002822,263.2854018,266.8098471,37827700
01/06/2022,266.7021179,271.8614937,264.3720676,269.4237666,25292200
02/06/2022,268.8168335,268.8853714,256.1092895,258.8994769,44008200
03/06/2022,264.3525391,267.7105695,262.7763457,264.6364606,28059000
06/06/2022,263.1091919,268.4252142,261.6113063,266.3497157,22400300
07/06/2022,266.7804871,267.3972687,260.3581775,261.0434972,22860700
08/06/2022,264.7343445,267.2699792,263.9511178,266.0070467,17372300
09/06/2022,259.2322693,266.9860178,259.075624,262.1595019,26439700
10/06/2022,247.6799927,255.1106675,247.2296411,255.1106675,31422800
13/06/2022,237.1752014,243.7933254,236.4605276,239.9653888,46135800
14/06/2022,239.3584137,240.5821775,236.4409501,238.741632,28651500
