Price,,,,,
Date,Close,High,Low,Open,Volume
28/04/2022,161.2077789,162.0747041,156.5677782,156.8830292,130216800
29/04/2022,155.3068085,163.729731,154.9127598,159.434534,131747600
02/05/2022,155.6122131,155.8781892,150.9919192,154.3807922,123055300
03/05/2022,157.1095886,158.3213175,153.9965682,155.7993551,88966500
04/05/2022,163.5524139,164.0055684,156.8928796,157.2967893,108256500
05/05/2022,154.4399261,161.641275,152.6469697,161.4146977,130525300
06/05/2022,155.1699829,157.3010087,152.1115655,153.9170166,116124600
09/05/2022,150.0200043,153.7394312,149.4576591,152.8514964,131577900
10/05/2022,152.4371643,154.6372586,150.878359,153.4336243,115366700
11/05/2022,144.5346069,153.3645338,143.8538613,151.4406974,142689800
12/05/2022,140.6474609,144.2386273,136.9379092,140.8546503,182602000
13/05/2022,145.1364136,146.1131374,141.1900765,142.650217,113990900
16/05/2022,143.5874939,145.5409419,142.2457384,143.5973694,86643800
17/05/2022,147.237854,147.7607425,144.7121854,146.8629471,78336300
18/05/2022,138.9308014,145.3830558,138.0231306,144.8799032,109742900
19/05/2022,135.5073395,139.7595148,134.7674014,138.0033962,136095600
20/05/2022,135.7441101,138.8123874,130.8309252,137.2239863,137426100
23/05/2022,141.1900787,141.3380604,135.8033219,135.9414431,117726300
24/05/2022,138.4769897,140.0653913,135.4876402,138.9209497,104132700
25/05/2022,138.6347961,139.8877471,136.4840351,136.572824,92482700
26/05/2022,141.8510742,142.403559,135.3001558,135.5468018,90601500
27/05/2022,147.6324615,147.6719183,143.3112179,143.4394786,90978500
31/05/2022,146.8432007,148.6387913,144.8700321,147.0701259,103718400
01/06/2022,146.7149353,149.7042841,145.6987398,147.8889578,74286600
02/06/2022,149.1814117,149.2406044,144.8897642,145.8467521,72348100
03/06/2022,143.4296265,145.9848761,142.5219707,144.9292237,88570300
06/06/2022,144.1794281,146.5768358,142.9560582,145.0574875,71598400
07/06/2022,146.7149353,147.0010381,142.1667818,142.4134278,67808200
08/06/2022,145.9749756,147.8593396,145.4816836,146.5866528,53950200
09/06/2022,140.7263947,145.9651553,140.6178698,145.1068317,69473000
10/06/2022,135.2903137,138.8716046,135.2212456,138.3980483,91437900
13/06/2022,130.1107178,133.3861692,129.6766184,131.0874264,122207100
14/06/2022,130.9788971,132.0937419,129.7160707,131.3439434,84784300
15/06/2022,133.6130829,135.4974622,130.3869636,132.4883776,91533000
16/06/2022,128.3151398,130.6138828,127.3088197,130.3080441,108123900
17/06/2022,129.7950287,131.294641,128.0685062,128.3250277,134520300
21/06/2022,134.0471802,135.2212177,131.5314027,131.6300521,81000500
22/06/2022,133.5341797,135.9118362,132.113496,132.9816799,73409200
23/06/2022,136.4149933,136.7306924,133.8104118,134.9844493,72433800
24/06/2022,139.7595062,140.0061522,137.8948629,138.0231086,89116800
27/06/2022,139.7595062,141.5649569,139.0787608,140.7855471,70207900
28/06/2022,135.5961456,141.4959154,135.4777603,140.2232283,67083400
29/06/2022,137.3621368,138.7828207,134.8364833,135.6158934,66242400
30/06/2022,134.8858185,136.5136767,131.9753976,135.408707,98964500
01/07/2022,137.0661316,137.1746565,133.8400122,134.2149039,71051600
05/07/2022,139.6608582,139.7101904,135.0929685,135.9217106,73353800
06/07/2022,141.002594,142.1864919,139.1872829,139.4536648,74064300
07/07/2022,144.3865967,144.5839105,141.3577761,141.3676365,66253700
08/07/2022,145.0673523,145.5705199,143.0547269,143.3112334,64547800
11/07/2022,142.9264679,144.6727264,141.8510946,143.7157384,63141600
12/07/2022,143.903183,146.4584326,143.1040521,143.8045185,77588800
13/07/2022,143.5381317,144.4852441,140.2133329,141.0716714,71185600
14/07/2022,146.4781494,146.9517056,141.328179,142.1470456,78140700
15/07/2022,148.155365,148.8361106,146.2117927,147.7705977,76259900
18/07/2022,145.0969391,149.5365678,144.7318927,148.7177011,81420900
19/07/2022,148.9742126,149.2011228,144.9390869,145.9355315,82982400
20/07/2022,150.9868469,151.657732,148.3526688,149.092607,64823400
21/07/2022,153.2658386,153.4828883,149.9015834,152.4272362,65086600
22/07/2022,152.0227661,154.1833881,151.351896,153.3053287,66675400
25/07/2022,150.8980255,152.9599825,150.237016,151.9438022,53623900
26/07/2022,149.5661469,151.0361474,148.7768766,150.2172809,55138700
27/07/2022,154.6865082,155.219272,150.1186342,150.5329977,78620700
28/07/2022,155.2390289,155.5251317,152.338469,154.8739825,81378700
29/07/2022,160.3297729,161.4347574,157.3601603,159.076822,101786900
01/08/2022,159.3432159,161.395313,158.7315385,158.8499238,67829400
02/08/2022,157.863327,160.2311381,157.4884353,157.952131,59907000
03/08/2022,163.9012451,164.3550654,158.5934171,158.682206,82507500
04/08/2022,163.5855408,164.9470319,162.2240496,163.7828546,55474100
05/08/2022,163.3583221,163.8522995,161.0366225,161.2440996,56697000
08/08/2022,162.884079,165.7886681,162.2221512,164.366011,60276900
09/08/2022,162.9334869,163.8226552,161.2836044,162.0443337,63135500
10/08/2022,167.2014465,167.300233,164.8896212,165.6602247,70170500
11/08/2022,166.4604797,168.9303663,166.1640903,168.0115607,57149200
12/08/2022,170.0270081,170.096157,167.3595183,167.7744726,68039400
15/08/2022,171.1038513,171.3014392,169.2860186,169.453969,54091700
16/08/2022,170.945816,171.6176331,169.5923228,170.6988273,56377100
17/08/2022,172.4474487,174.0281668,170.4913032,170.6888911,79542000
18/08/2022,172.0523071,172.7932732,171.034715,171.6571313,62290100
19/08/2022,169.4539948,171.6472554,169.2465176,170.9458009,70346300
